prompt_id,layer,token,expert_id
0,0,0,33
0,0,0,8
0,0,0,6
0,0,0,59
0,0,0,31
0,0,0,45
0,0,0,47
0,0,0,16
0,1,0,58
0,1,0,40
0,1,0,2
0,1,0,31
0,1,0,12
0,1,0,63
0,1,0,20
0,1,0,30
0,2,0,57
0,2,0,44
0,2,0,20
0,2,0,48
0,2,0,1
0,2,0,63
0,2,0,29
0,2,0,19
0,3,0,38
0,3,0,49
0,3,0,12
0,3,0,40
0,3,0,27
0,3,0,28
0,3,0,56
0,3,0,30
0,4,0,38
0,4,0,26
0,4,0,58
0,4,0,41
0,4,0,24
0,4,0,53
0,4,0,44
0,4,0,47
0,5,0,44
0,5,0,1
0,5,0,54
0,5,0,13
0,5,0,50
0,5,0,27
0,5,0,63
0,5,0,18
0,6,0,63
0,6,0,35
0,6,0,12
0,6,0,2
0,6,0,33
0,6,0,28
0,6,0,46
0,6,0,19
0,7,0,38
0,7,0,19
0,7,0,1
0,7,0,52
0,7,0,36
0,7,0,24
0,7,0,43
0,7,0,11
0,8,0,18
0,8,0,15
0,8,0,0
0,8,0,40
0,8,0,2
0,8,0,7
0,8,0,14
0,8,0,28
0,9,0,18
0,9,0,61
0,9,0,43
0,9,0,53
0,9,0,54
0,9,0,32
0,9,0,59
0,9,0,49
0,10,0,14
0,10,0,1
0,10,0,36
0,10,0,54
0,10,0,57
0,10,0,35
0,10,0,10
0,10,0,48
0,11,0,6
0,11,0,8
0,11,0,31
0,11,0,45
0,11,0,43
0,11,0,42
0,11,0,24
0,11,0,39
0,12,0,28
0,12,0,47
0,12,0,40
0,12,0,32
0,12,0,43
0,12,0,0
0,12,0,62
0,12,0,19
0,13,0,15
0,13,0,14
0,13,0,11
0,13,0,49
0,13,0,16
0,13,0,34
0,13,0,56
0,13,0,24
0,14,0,29
0,14,0,20
0,14,0,53
0,14,0,5
0,14,0,28
0,14,0,62
0,14,0,23
0,14,0,54
0,15,0,34
0,15,0,32
0,15,0,61
0,15,0,56
0,15,0,37
0,15,0,18
0,15,0,49
0,15,0,27
0,0,1,38
0,0,1,6
0,0,1,13
0,0,1,33
0,0,1,27
0,0,1,54
0,0,1,2
0,0,1,63
0,1,1,9
0,1,1,32
0,1,1,53
0,1,1,40
0,1,1,18
0,1,1,49
0,1,1,39
0,1,1,24
0,2,1,34
