allocator,total_stall_ns,cxl_fetches,hbm_hits,overflow_events,capacity_mb
hbm_only,139624000000.0,0,2986,139624,100
static_partition,22668825600.0,115200,26550,0,100
lru,22727713500.0,141750,0,0,100
dynamic_joint,22093053172.0,112274,29476,0,100
hbm_only,138206000000.0,0,4364,138206,200
static_partition,22668825600.0,115200,26550,0,200
lru,22727713500.0,141750,0,0,200
dynamic_joint,21549158780.0,109510,32240,0,200
hbm_only,136664000000.0,0,5921,136664,400
static_partition,22668825600.0,115200,26550,0,400
lru,22727713500.0,141750,0,0,400
dynamic_joint,20624498958.0,104811,36939,0,400
hbm_only,131466000000.0,0,11054,131466,800
static_partition,22668825600.0,115200,26550,0,800
lru,22727713500.0,141750,0,0,800
dynamic_joint,19067001088.0,96896,44854,0,800
hbm_only,123830000000.0,0,18655,123830,1600
static_partition,22668825600.0,115200,26550,0,1600
lru,16590765270.0,97215,44535,0,1600
dynamic_joint,16538994122.0,84049,57701,0,1600
hbm_only,106082000000.0,0,36238,106082,3200
static_partition,16540174790.0,84055,57695,0,3200
lru,11267901836.0,57262,84488,0,3200
dynamic_joint,12469034748.0,63366,78384,0,3200
