allocator,total_stall_ns,cxl_fetches,hbm_hits,overflow_events,preset,category
hbm_only,25377000000.0,0,3073,25377,tight,code
static_partition,4533765120.0,23040,5310,0,tight,code
lru,4545542700.0,28350,0,0,tight,code
dynamic_joint,4137454228.0,21026,7324,0,tight,code
hbm_only,110127000000.0,0,3913,110127,tight,kv_heavy
static_partition,18135060480.0,92160,21240,0,tight,kv_heavy
lru,18182170800.0,113400,0,0,tight,kv_heavy
dynamic_joint,17230078458.0,87561,25839,0,tight,kv_heavy
hbm_only,21152000000.0,0,7248,21152,typical,code
static_partition,4533765120.0,23040,5310,0,typical,code
lru,4545542700.0,28350,0,0,typical,code
dynamic_joint,2904049724.0,14758,13592,0,typical,code
hbm_only,103911000000.0,0,10079,103911,typical,kv_heavy
static_partition,18135060480.0,92160,21240,0,typical,kv_heavy
lru,18182170800.0,113400,0,0,typical,kv_heavy
dynamic_joint,15388629934.0,78203,35197,0,typical,kv_heavy
hbm_only,10589000000.0,0,17611,10589,abundant,code
static_partition,3127195976.0,15892,12458,0,abundant,code
lru,1540574962.0,7829,20521,0,abundant,code
dynamic_joint,1095266348.0,5566,22784,0,abundant,code
hbm_only,82085000000.0,0,31705,82085,abundant,kv_heavy
static_partition,13403730248.0,68116,45284,0,abundant,kv_heavy
lru,9706468406.0,49327,64073,0,abundant,kv_heavy
dynamic_joint,10191526176.0,51792,61608,0,abundant,kv_heavy
